类别：所有类别

区域,squishmallow cat: (2023/4/18 - 2024/4/18)
West Virginia,100
Kentucky,75
Wisconsin,75
South Dakota,72
Kansas,72
Indiana,70
Ohio,70
Minnesota,64
Oregon,64
North Dakota,62
Michigan,62
Washington,62
North Carolina,62
Tennessee,59
Arizona,56
Pennsylvania,56
Montana,54
Virginia,54
Illinois,54
South Carolina,51
Missouri,51
Nebraska,51
Utah,51
New Hampshire,51
Oklahoma,48
Rhode Island,48
Delaware,48
Connecticut,48
Colorado,45
Idaho,45
Iowa,45
Texas,45
Alabama,43
New Mexico,43
California,43
Massachusetts,43
Florida,43
New Jersey,43
Maine,40
Nevada,40
Arkansas,40
Maryland,40
Georgia,40
New York,37
Hawaii,35
Louisiana,35
Mississippi,32
Alaska,2
Vermont,
District of Columbia,
Wyoming,
