类别：所有类别

区域,squishmallows happy meal: (2023/4/18 - 2024/4/18)
Kentucky,100
Indiana,87
Illinois,87
Oklahoma,75
Minnesota,75
Wisconsin,75
Ohio,75
Michigan,75
Tennessee,62
Washington,62
Utah,62
Connecticut,62
California,50
Nevada,50
South Carolina,50
Florida,50
Pennsylvania,50
Oregon,50
Virginia,50
Texas,37
Missouri,37
Georgia,37
North Carolina,37
New Jersey,37
Arizona,37
Maryland,37
Colorado,25
New York,25
Massachusetts,12
South Dakota,<1
Alaska,
New Hampshire,
New Mexico,
Nebraska,
North Dakota,
Montana,
Mississippi,
Maine,
Louisiana,
Rhode Island,
Kansas,
Idaho,
Iowa,
Hawaii,
Delaware,
District of Columbia,
Vermont,
Arkansas,
Alabama,
West Virginia,
Wyoming,
