类别：所有类别

区域,mcdonalds squishmallow happy meal: (2023/4/18 - 2024/4/18)
Minnesota,100
Michigan,33
Illinois,33
Florida,33
Pennsylvania,33
California,33
New York,<1
Texas,<1
Alaska,
Wyoming,
Georgia,
Hawaii,
Iowa,
Idaho,
District of Columbia,
Indiana,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Maryland,
Maine,
Connecticut,
Colorado,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Nevada,
Arizona,
Ohio,
Oklahoma,
Oregon,
Arkansas,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Alabama,
Utah,
Virginia,
Vermont,
Washington,
Wisconsin,
West Virginia,
Delaware,
