类别：所有类别

区域,boycotting squishmallows: (2023/4/18 - 2024/4/18)
Iowa,100
Illinois,40
Pennsylvania,20
New Jersey,20
Georgia,20
Ohio,20
Virginia,20
California,20
Florida,<1
Texas,<1
New York,<1
Alaska,
Wyoming,
Idaho,
Delaware,
Indiana,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Maryland,
Maine,
Michigan,
Minnesota,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
District of Columbia,
New Mexico,
Nevada,
Connecticut,
Colorado,
Oklahoma,
Oregon,
Arizona,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Arkansas,
Utah,
Alabama,
Vermont,
Washington,
Wisconsin,
West Virginia,
Hawaii,
