类别：所有类别

区域,squishmallow: (2023/4/18 - 2024/4/18)
Wisconsin,100
Kentucky,98
West Virginia,96
Ohio,95
Indiana,94
Michigan,90
Pennsylvania,87
Illinois,84
Nebraska,82
Minnesota,81
Iowa,81
Idaho,79
Washington,78
Hawaii,78
North Dakota,78
Arizona,76
Utah,75
Tennessee,75
New Hampshire,74
Missouri,74
Oregon,73
Kansas,72
Delaware,71
California,71
Colorado,71
Maryland,70
Maine,69
South Dakota,68
Texas,68
North Carolina,67
Nevada,67
New Mexico,67
Rhode Island,66
Virginia,66
New Jersey,64
Wyoming,64
Connecticut,63
Arkansas,63
Massachusetts,63
Alaska,62
Oklahoma,62
South Carolina,60
Florida,59
Vermont,59
New York,56
Montana,55
Alabama,54
Georgia,53
Mississippi,49
Louisiana,45
District of Columbia,31
