类别：所有类别

区域,costco squishmallows: (2023/4/18 - 2024/4/18)
North Dakota,100
Delaware,81
Washington,50
California,40
Utah,40
Minnesota,31
Michigan,31
Oregon,31
Colorado,31
Arizona,27
Iowa,27
Illinois,27
South Carolina,22
Virginia,22
Wisconsin,22
Nevada,22
Ohio,22
Indiana,18
Connecticut,18
Texas,18
New Jersey,18
Maryland,18
Missouri,13
North Carolina,13
Pennsylvania,13
Georgia,13
Massachusetts,13
Florida,13
New York,9
Tennessee,9
Alaska,
New Hampshire,
New Mexico,
Nebraska,
Montana,
Mississippi,
Oklahoma,
Maine,
Louisiana,
Rhode Island,
Kentucky,
South Dakota,
Kansas,
Idaho,
Hawaii,
District of Columbia,
Vermont,
Arkansas,
Alabama,
West Virginia,
Wyoming,
