类别：所有类别

区域,shark squishmallow: (2023/4/18 - 2024/4/18)
New Mexico,100
Arkansas,69
Kentucky,61
Oregon,53
Kansas,53
Pennsylvania,53
Minnesota,53
South Carolina,53
Arizona,53
Wisconsin,46
Illinois,46
Missouri,46
Maryland,46
Michigan,46
Indiana,46
Iowa,46
Utah,46
Ohio,38
Oklahoma,38
Washington,38
Nevada,38
Virginia,38
Georgia,38
Florida,38
North Carolina,38
New Jersey,38
California,38
Massachusetts,30
Tennessee,30
Texas,30
Colorado,30
Alabama,30
New York,23
Nebraska,<1
Connecticut,<1
Alaska,
New Hampshire,
North Dakota,
Montana,
Rhode Island,
Mississippi,
South Dakota,
Maine,
Louisiana,
Idaho,
Hawaii,
Vermont,
Delaware,
District of Columbia,
West Virginia,
Wyoming,
