类别：所有类别

区域,squishmallows: (2023/4/18 - 2024/4/18)
West Virginia,100
Michigan,99
Ohio,98
Indiana,94
Nebraska,93
Iowa,92
Utah,92
North Dakota,91
Illinois,90
South Dakota,90
Wisconsin,90
Delaware,89
Pennsylvania,89
Kansas,89
Kentucky,88
Minnesota,84
Idaho,84
Texas,84
Alaska,83
Maine,83
New Hampshire,82
Hawaii,80
Oklahoma,80
Nevada,78
Arizona,77
California,77
New Mexico,77
North Carolina,77
Virginia,77
Missouri,76
Wyoming,76
South Carolina,76
Arkansas,74
New Jersey,74
Oregon,74
Connecticut,73
Colorado,73
Washington,72
Montana,68
Florida,67
Tennessee,67
Maryland,67
Georgia,66
Alabama,66
Rhode Island,65
Vermont,64
Massachusetts,63
New York,60
Mississippi,59
Louisiana,59
District of Columbia,39
