类别：所有类别

区域,target squishmallows: (2023/4/18 - 2024/4/18)
Idaho,100
Minnesota,90
Michigan,81
Ohio,81
Pennsylvania,72
Kansas,72
South Carolina,72
Wisconsin,63
Illinois,63
Iowa,63
Missouri,54
Indiana,54
Arkansas,54
Maryland,54
Colorado,54
Nevada,54
Connecticut,54
North Carolina,45
California,45
Washington,45
New Jersey,45
Florida,45
Massachusetts,45
Tennessee,36
New York,36
Texas,36
Oklahoma,36
Kentucky,36
Virginia,36
Arizona,36
Oregon,27
Georgia,27
Alabama,<1
Alaska,
New Mexico,
New Hampshire,
Nebraska,
North Dakota,
Montana,
Rhode Island,
Mississippi,
South Dakota,
Maine,
Louisiana,
Utah,
Hawaii,
Vermont,
Delaware,
District of Columbia,
West Virginia,
Wyoming,
