类别：所有类别

区域,squishmallows amazon: (2023/4/18 - 2024/4/18)
Idaho,100
Wisconsin,76
Iowa,76
Ohio,69
Pennsylvania,69
Indiana,69
Minnesota,61
Arkansas,61
Colorado,61
Kentucky,61
Kansas,53
Connecticut,53
Utah,53
Michigan,53
Georgia,53
Illinois,53
Oklahoma,53
Maryland,46
Washington,46
New Jersey,46
Alabama,46
Texas,46
Massachusetts,46
North Carolina,38
Florida,38
California,38
Virginia,38
New York,38
Missouri,38
Arizona,38
Nevada,30
South Carolina,30
Tennessee,30
Oregon,30
Alaska,
New Mexico,
New Hampshire,
Nebraska,
North Dakota,
Rhode Island,
Montana,
South Dakota,
Mississippi,
Maine,
Louisiana,
Hawaii,
Vermont,
Delaware,
District of Columbia,
West Virginia,
Wyoming,
