,title,brand,descript,url,time
0,Electric vehicles - IEA,IEA – International Energy Agency,"The share of electric cars in total sales has more than tripled in three years, from around 4% in 2020 to 14% in 2022. EV sales are expected to continue...9 months ago",https://www.iea.org/energy-system/transport/electric-vehicles,9 months ago
1,VW electric car sales plunge: Why are Europeans returning to petrol?,Euronews.com,Sales of Volkswagen electric vehicles in Europe fell by almost a quarter in the first three months of the year as consumers returned to petrol.3 days ago,https://www.euronews.com/business/2024/04/11/volkswagen-electric-car-sales-plunge-why-are-europeans-returning-to-petrol,3 days ago
2,Tracking global data on electric vehicles,Our World in Data,"Globally, around 1-in-7 new cars sold was electric in 2022 (the preliminary estimate for 2023 is around 1-in-5). In Norway, the share was well over 4-in-5, and...1 month ago",https://ourworldindata.org/electric-car-sales,1 month ago
3,Apple cancels electric car project after decade of investment,Al Jazeera,"Apple cancels electric car project after decade of investment. As enthusiasm for the tech wanes, markets approve of company's decision to shift employees to...1 month ago",https://www.aljazeera.com/news/2024/2/28/apple-parks-electric-car-project,1 month ago
4,"I travelled the UK and Ireland in an electric car, and what a shocker: nothing went wrong",The Guardian,"We worked out a route and looked at booking hotels, a treehouse, a campervan and a lighthouse; we'd visit friends and family; and we'd explore the capital...7 months ago",https://www.theguardian.com/commentisfree/2023/aug/23/uk-ireland-electric-car-electric-vehicle-road-trip,7 months ago
5,The global electric car race: Europe needs to wake up!,ACEA - European Automobile Manufacturers' Association,"The global electric car race: Europe needs to wake up! ... As visitors to the Geneva International Motor Show this week can witness first hand, the European auto...1 month ago",https://www.acea.auto/news/the-global-electric-car-race-europe-needs-to-wake-up/,1 month ago
6,‘A game changer’: Israel-based firm’s foldable electric car to hit roads in July,The Times of Israel,"City Transformer's $17400 CT-2 aims to transform urban travel; constructed from sustainable materials, running on a smaller battery, innovative vehicle...1 month ago",https://www.timesofisrael.com/a-game-changer-israeli-based-firms-foldable-ev-to-hit-roads-in-july/,1 month ago
7,Electric vehicles are suddenly hot − but the industry has traveled a long road to relevance,The Conversation,Electric vehicles are suddenly hot − but the industry has traveled a long road to relevance · Electric vehicles and the long road to adoption · The 'cool...2 months ago,https://theconversation.com/electric-vehicles-are-suddenly-hot-but-the-industry-has-traveled-a-long-road-to-relevance-219315,2 months ago
8,China’s BYD overtakes Tesla's electric car sales in last quarter of 2023,BBC,China's BYD overtakes Tesla's electric car sales in last quarter of 2023 ... Reuters Models pose with a BYD car in Japan. ... Chinese company BYD sold more electric...3 months ago,https://www.bbc.com/news/business-67860232,3 months ago
9,An Electric Car Journey Through the South,Capital B News,A dashboard in an electric car shows that the car battery is low. Driving speed and air conditioner use can limit the range of an electric vehicle. Advance...5 months ago,https://capitalbnews.org/ev-drive-south-essay/,5 months ago
10,The electric vehicle revolution is running out of steam,Financial Times,"Thousands of imported vehicles, many of them electric cars made in China, are clogging up European ports. Along with falling sales at Tesla and BYD,...4 days ago",https://www.ft.com/content/11b02a4f-1604-46e3-b61f-00d39bd4cb76,4 days ago
11,I love electric vehicles – and was an early adopter. But increasingly I feel duped,The Guardian,"Sadly, keeping your old petrol car may be better than buying an EV, says actor Rowan Atkinson.10 months ago",https://www.theguardian.com/commentisfree/2023/jun/03/electric-vehicles-early-adopter-petrol-car-ev-environment-rowan-atkinson,10 months ago
12,New car registrations: +21% in August; battery electric exceeds 20% share for the first time,ACEA - European Automobile Manufacturers' Association,"In August 2023, the EU car market expanded by 21%, reaching 787626 registered units, marking the thirteenth consecutive month of growth.6 months ago",https://www.acea.auto/pc-registrations/new-car-registrations-21-in-august-battery-electric-exceeds-20-share-for-the-first-time/,6 months ago
13,Europe's Tesla fans fear brakes put on plans for cheaper electric car,Euronews.com,"European Tesla enthusiasts may have to resign themselves to paying for the company's existing models, as more rumours emerge of the company abandoning its...5 days ago",https://www.euronews.com/business/2024/04/09/europes-tesla-fans-fear-brakes-put-on-plans-for-cheaper-electric-car,5 days ago
