Category: All categories

Region,Harry's razors: (4/16/23 - 4/16/24)
Idaho,100
South Carolina,100
Delaware,95
Wisconsin,90
Oregon,85
Massachusetts,85
Nevada,85
Hawaii,85
Michigan,85
Ohio,80
Arizona,80
Nebraska,80
Maine,80
Kentucky,80
Missouri,76
Pennsylvania,76
Utah,76
New Hampshire,76
Oklahoma,71
Maryland,71
District of Columbia,71
Minnesota,71
Indiana,71
West Virginia,71
Louisiana,71
Tennessee,66
Colorado,66
Connecticut,66
Illinois,66
Washington,66
New Mexico,61
New Jersey,61
Kansas,61
North Carolina,61
Georgia,57
Texas,57
California,57
Alabama,52
Virginia,52
New York,52
Florida,52
Iowa,52
Arkansas,47
Mississippi,47
Montana,<1
Alaska,
Vermont,
South Dakota,
Rhode Island,
North Dakota,
Wyoming,
