Category: All categories

Region,Squishmallows: (4/16/23 - 4/16/24)
Ohio,100
West Virginia,98
Nebraska,91
Michigan,90
Indiana,90
Utah,89
Illinois,89
Iowa,88
North Dakota,88
Kansas,87
South Dakota,87
Wisconsin,87
Pennsylvania,87
Kentucky,86
Delaware,85
Minnesota,82
Idaho,81
Maine,81
Alaska,81
Wyoming,79
New Hampshire,78
Texas,78
Oklahoma,77
Hawaii,77
Arizona,75
New Mexico,74
Nevada,74
Missouri,74
North Carolina,73
Arkansas,73
South Carolina,73
Oregon,72
Connecticut,71
Virginia,70
Colorado,70
California,69
Washington,68
New Jersey,66
Tennessee,65
Maryland,65
Montana,64
Alabama,63
Rhode Island,63
Florida,62
Vermont,62
Massachusetts,60
New York,60
Georgia,60
Louisiana,58
Mississippi,58
District of Columbia,41
