Category: All categories

Region,Electric bicycles: (4/16/23 - 4/16/24)
Oregon,100
West Virginia,82
Florida,73
Kentucky,69
District of Columbia,65
Maine,65
Idaho,65
New Mexico,60
Tennessee,52
Arizona,52
Hawaii,52
Kansas,47
California,47
Indiana,47
Nevada,47
Ohio,47
Colorado,47
Missouri,43
New Hampshire,43
Louisiana,43
Michigan,43
Utah,39
Iowa,39
Minnesota,34
Pennsylvania,34
Mississippi,34
Wisconsin,34
Virginia,34
Massachusetts,34
Washington,34
Oklahoma,34
Arkansas,34
Connecticut,30
Illinois,30
New York,30
Alabama,30
North Carolina,30
Maryland,30
New Jersey,26
Georgia,26
Texas,26
South Carolina,21
Nebraska,<1
Alaska,
South Dakota,
Rhode Island,
Vermont,
North Dakota,
Montana,
Delaware,
Wyoming,
