Category: All categories

Region,LEGO Bonsai Tree: (4/16/23 - 4/16/24)
New Mexico,100
Montana,96
Utah,96
Nevada,85
Idaho,77
Minnesota,77
Illinois,74
Kansas,74
Wisconsin,74
Arizona,74
California,74
Colorado,74
Michigan,70
Nebraska,70
Washington,70
Oklahoma,70
Ohio,66
Oregon,66
Maine,66
Hawaii,62
Missouri,62
Iowa,62
Texas,62
Delaware,62
Rhode Island,59
West Virginia,59
Virginia,55
North Carolina,55
Connecticut,55
Maryland,55
Arkansas,55
Massachusetts,55
Indiana,55
Pennsylvania,55
Tennessee,51
Florida,51
South Carolina,51
Kentucky,48
Alabama,48
Georgia,48
New Jersey,48
New York,37
Mississippi,37
Louisiana,29
Alaska,
South Dakota,
Vermont,
New Hampshire,
North Dakota,
District of Columbia,
Wyoming,
