Category: All categories

Region,Sleep headphones: (4/16/23 - 4/16/24)
Vermont,100
Utah,64
Rhode Island,62
Colorado,56
Idaho,54
Minnesota,54
Nebraska,54
Oregon,54
District of Columbia,51
Massachusetts,48
New Hampshire,45
Maryland,43
Washington,43
Alabama,43
Virginia,40
Connecticut,37
Missouri,37
North Carolina,37
Nevada,37
Arizona,37
New York,37
California,37
Illinois,35
Wisconsin,35
Kentucky,35
Florida,35
Kansas,35
New Jersey,35
Iowa,35
Arkansas,35
Maine,35
Georgia,35
Indiana,35
Pennsylvania,35
South Carolina,35
Michigan,32
Ohio,32
Texas,32
New Mexico,32
Louisiana,29
Tennessee,27
Oklahoma,24
Mississippi,18
Delaware,<1
Hawaii,<1
Alaska,
South Dakota,
North Dakota,
Montana,
West Virginia,
Wyoming,
