Category: All categories

Week,Sorel boots: (United States)
2023-04-16,8
2023-04-23,8
2023-04-30,7
2023-05-07,5
2023-05-14,5
2023-05-21,5
2023-05-28,4
2023-06-04,6
2023-06-11,4
2023-06-18,5
2023-06-25,5
2023-07-02,5
2023-07-09,6
2023-07-16,6
2023-07-23,8
2023-07-30,9
2023-08-06,9
2023-08-13,11
2023-08-20,14
2023-08-27,12
2023-09-03,17
2023-09-10,17
2023-09-17,23
2023-09-24,26
2023-10-01,26
2023-10-08,34
2023-10-15,43
2023-10-22,42
2023-10-29,62
2023-11-05,51
2023-11-12,48
2023-11-19,87
2023-11-26,100
2023-12-03,72
2023-12-10,58
2023-12-17,46
2023-12-24,53
2023-12-31,49
2024-01-07,78
2024-01-14,95
2024-01-21,63
2024-01-28,30
2024-02-04,23
2024-02-11,23
2024-02-18,19
2024-02-25,14
2024-03-03,13
2024-03-10,10
2024-03-17,10
2024-03-24,12
2024-03-31,9
2024-04-07,8
2024-04-14,6
