Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
shop green tea deep cleanse masks,"Informational, Transactional",9900,"1.00,0.36,0.13,0.08,0.07,0.10,0.07,0.02,0.01,0.01,0.00,0.00",31,0.48,1.00,"Reviews, Image, Image pack, Video, People also ask, Popular products",98
green tea deep cleanse mask,Transactional,3600,"1.00,0.29,0.08,0.02,0.05,0.08,0.07,0.02,0.00,0.00,0.16,0.19",34,0.48,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products, Shopping ads",23300000
green tea deep cleanse mask reviews,Commercial,1300,"1.00,0.29,0.00,0.00,0.03,0.05,0.03,0.00,0.00,0.00,0.12,0.12",33,0.32,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products",12100000
deep cleanse green tea mask,"Informational, Transactional",390,"0.35,1.00,0.13,0.04,0.13,0.13,0.09,0.00,0.04,0.04,0.00,0.04",32,0.51,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",24600000
poreless deep cleanse green tea mask,Transactional,320,"0.04,0.59,0.88,0.14,0.48,1.00,0.39,0.17,0.14,0.05,0.07,0.05",34,1.23,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",68
green tea deep cleanse mask stick,Transactional,90,"1.00,0.00,0.00,0.00,0.17,0.20,0.17,0.03,0.03,0.03,0.33,0.27",22,0.44,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",9900000
does green tea deep cleanse mask work,Informational,70,"1.00,0.00,0.00,0.00,0.05,0.08,0.09,0.05,0.05,0.05,0.27,0.23",34,0.00,0.69,"Site links, Reviews, Image, Video, People also ask, Related searches, Popular products",17400000
green tea deep cleansing mask,Transactional,70,"1.00,0.00,0.00,0.00,0.11,0.15,0.00,0.00,0.00,0.00,0.08,0.11",30,0.48,1.00,"Reviews, Image, Image pack, Video, People also ask, Popular products",24900000
deep cleanse green tea mask reviews,Commercial,50,"1.00,0.60,0.10,0.00,0.30,0.10,0.20,0.10,0.10,0.10,0.30,0.20",36,0.00,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches",89
green tea poreless deep cleanse mask stick for face reviews,Commercial,50,"0.00,1.00,0.00,0.34,0.26,0.07,0.07,0.07,0.07,0.07,0.07,0.07",33,0.00,0.00,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches",51
green tea deep cleanse mask does it work,Informational,40,"1.00,0.09,0.00,0.00,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06",34,0.00,1.00,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",16200000
green tea deep cleanse mask stick reviews,Commercial,40,"1.00,0.09,0.00,0.00,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06",29,0.00,1.00,"Site links, Reviews, Image, Video, People also ask, Related searches",85
green tea deep cleansing mask reviews,Commercial,40,"0.78,0.00,0.00,0.00,0.14,0.14,0.50,1.00,0.35,0.35,0.07,0.50",32,0.32,1.00,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches",11800000
is green tea deep cleanse mask legit,"Informational, Transactional",40,"0.23,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.23,0.11,0.11,0.11",30,0.00,1.00,"Site links, Reviews, Video, People also ask, Related searches, Shopping ads",11300000
green tea deep cleanse mask oneews,Transactional,30,"0.14,1.00,0.00,0.14,0.14,0.00,0.50,0.14,0.00,0.14,0.14,0.14",30,0.90,1.00,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",44
green tea deep cleanse mask review,Commercial,30,"1.00,0.00,0.00,0.00,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.00",31,0.32,1.00,"Site links, Reviews, Image, Image pack, Video, People also ask, Related searches",12300000
does the green tea deep cleanse mask really work,,20,"1.00,0.00,0.00,0.00,0.28,0.28,0.28,0.28,0.28,0.00,0.28,0.28",,0.00,0.81,,
green tea deep cleansing mask stick,,20,"0.00,0.00,0.00,0.00,0.27,0.56,0.41,0.00,0.00,0.27,1.00,0.56",,0.44,1.00,,
hot sale - green tea deep cleanse mask,,20,"0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.18,0.18,1.00,0.81",,0.69,1.00,,
news green tea deep cleanse mask,,20,"1.00,0.09,0.00,0.00,0.18,0.18,0.18,0.00,0.00,0.00,0.18,0.18",,0.00,0.75,,
oneews green tea deep cleanse mask,,20,"0.11,0.11,0.00,0.11,0.11,0.11,0.22,0.11,0.11,0.11,0.22,1.00",,0.65,1.00,,
poreless deep cleanse green tea mask reviews,,20,"0.00,0.00,0.00,0.00,0.45,1.00,0.36,0.18,0.18,0.18,0.18,0.18",,0.00,0.94,,
reviews green tea deep cleanse mask,,20,"1.00,0.00,0.00,0.00,0.50,0.50,0.50,0.50,0.50,0.00,0.50,0.50",,0.00,1.00,,
best green tea deep cleanse mask,,10,"1.00,0.00,0.00,0.00,0.00,0.66,0.66,0.66,0.00,0.00,0.66,0.66",,0.34,0.94,,
deep cleanse green tea face mask,,10,"0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00",,0.00,1.00,,
deep cleanse green tea mask does it work,,10,"0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
deep cleanse green tea mask ingredients,,10,"0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00",,0.00,0.00,,
deep cleanse green tea mask stick,,10,"0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
deep cleanse green tea mask stick reviews,,10,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00",,0.00,1.00,,
deep cleanser green tea mask,,10,"0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00",,0.00,0.00,,
deep cleansing green tea mask,,10,"1.00,0.00,0.00,0.00,0.00,0.00,0.40,1.00,0.40,0.00,0.00,0.40",,0.51,1.00,,
deep cleansing green tea mask reviews,,10,"0.00,0.00,0.00,0.00,0.40,0.40,0.00,0.00,0.60,0.40,1.00,0.80",,0.00,1.00,,
deep cleansing mask green tea,,10,"0.50,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00",,0.00,1.00,,
does deep cleanse green tea mask really work,,10,"0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00",,0.00,0.54,,
does deep cleanse green tea mask work,,10,"0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.68,,
does green tea deep cleanse mask really work,,10,"0.50,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00",,0.00,0.90,,
does poreless deep cleanse green tea mask really work,,10,"0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00",,0.00,0.57,,
does poreless deep cleanse green tea mask work,,10,"0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.86,,
does the deep cleanse green tea mask really work,,10,"0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00",,0.00,0.00,,
free-deep cleanse green tea mask,,10,"0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00",,0.00,0.00,,
green tea deep cleanse mask -,,10,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.48,1.00,,
green tea deep cleanse mask - free shipping,,10,"0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00",,0.00,1.00,,
green tea deep cleanse mask avis,,10,"0.00,1.00,0.00",,0.00,0.00,,
green tea deep cleanse mask ingredients,,10,"0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,1.00,,
green tea deep cleanse mask meidian,,10,"0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00",,0.00,1.00,,
green tea deep cleanse mask reddit,,10,"0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,0.00,0.53,,
