Category: All categories

Week,Compression packing cubes: (United States)
2023-04-16,73
2023-04-23,62
2023-04-30,46
2023-05-07,64
2023-05-14,90
2023-05-21,84
2023-05-28,90
2023-06-04,59
2023-06-11,95
2023-06-18,76
2023-06-25,82
2023-07-02,81
2023-07-09,100
2023-07-16,71
2023-07-23,61
2023-07-30,55
2023-08-06,58
2023-08-13,69
2023-08-20,76
2023-08-27,50
2023-09-03,60
2023-09-10,58
2023-09-17,54
2023-09-24,52
2023-10-01,39
2023-10-08,50
2023-10-15,37
2023-10-22,34
2023-10-29,34
2023-11-05,33
2023-11-12,46
2023-11-19,67
2023-11-26,64
2023-12-03,78
2023-12-10,62
2023-12-17,62
2023-12-24,44
2023-12-31,59
2024-01-07,24
2024-01-14,51
2024-01-21,38
2024-01-28,47
2024-02-04,56
2024-02-11,40
2024-02-18,43
2024-02-25,66
2024-03-03,58
2024-03-10,42
2024-03-17,45
2024-03-24,48
2024-03-31,42
2024-04-07,56
2024-04-14,58
